### Q146591, circle of latitude : _wdadd_ 
Q146591,circle of latitude
Q149273,tropic
Q202490,polar circle
### Q32099, meridian : _wdadd_ 
Q32099,meridian
Q3401774,prime meridian
Q7245083,principal meridian
Q19826646,meridian marker
### Q146657, great circle : _wdadd_ 
Q146657,great circle
Q32099,meridian
Q3401774,prime meridian
Q7245083,principal meridian
Q19826646,meridian marker
Q145519,north-south running great circle
Q148901,celestial meridian
Q830118,vertical circle
Q6413359,lunar mansion
### Q131389, International Date Line : _wdadd_ 
Q131389,International Date Line
